Identifier,Manufacturer,Name,Category,ProductUrl,ProductNumber,Price,ImageURL,DeliveryTime
OBD-11352,OBDeleven,"OBDeleven 3 – Tester diagnoza si codare auto","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/obdeleven-3-tester-diagnoza-si-codare-auto/,,499,https://cartline.ro/wp-content/uploads/2026/09/Device-14.png,"1 zi lucratoare"
CAR-3769,Carista,"Tester Auto Universal cu telefonul – Carista EVO + 1 An abonament","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/tester-auto-universal-cu-telefonul-carista-evo-1-an-abonament/,EVO1Y,669,https://cartline.ro/wp-content/uploads/2024/11/Carista-EVO1Y.png,"1 zi lucratoare"
MBI-3736,MBito,"Tester diagnoza si activare functii Mercedes cu telefonul – MBito","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/tester-auto-mercedes-cu-telefonul-mbito/,MB-01,399,https://cartline.ro/wp-content/uploads/2024/11/MBito-device-no-logo.jpg,"1 zi lucratoare"
TOP-10579,TOPDON,"TOPDON TopScan Pro – tester diagnoza auto OBD2 cu aplicatie mobila","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/topdon-topscan-pro/,,549,https://cartline.ro/wp-content/uploads/2026/02/TopScan-4.png,"1 zi lucratoare"
TOP-10330,TOPDON,"TOPDON ArtiDiag EU – tester diagnoza auto multimarca","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/topdon-artidiag-eu/,,1099,https://cartline.ro/wp-content/uploads/2025/11/ArtiDiag-EU_0-S.png,"1 zi lucratoare"
TOP-10329,TOPDON,"TOPDON ArtiDiag900 BT – tester diagnoza auto Bluetooth multimarca","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/topdon-artidiag900-bt/,,2799,https://cartline.ro/wp-content/uploads/2025/11/AD900-BT-0.png,"1 zi lucratoare"
TOP-10328,TOPDON,"TOPDON Phoenix Lite 3 – tester diagnoza auto profesional multimarca","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/topdon-phoenix-lite-3/,,5809,https://cartline.ro/wp-content/uploads/2025/11/TD52110422_1.webp,"1 zi lucratoare"
TOP-10327,TOPDON,"TOPDON Phoenix Elite – tester diagnoza auto profesional OE-Level","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/topdon-phoenix-elite/,,11369,https://cartline.ro/wp-content/uploads/2025/11/PhoenixElite_7.png,"1 zi lucratoare"
TOP-11130,TOPDON,"TOPDON ONE – tester diagnoza flagship 50+ functii service","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/topdon-one-tester-diagnoza-flagship-50-functii-service/,920001,4507,https://cartline.ro/wp-content/uploads/2026/09/TopdonONE_9.jpg,"1 zi lucratoare"
TOP-11909,TOPDON,"TOPDON V2200 – jump starter auto 2200A","Home | Auto - Moto | Accesorii vehicule | Incarcator baterii auto, robot de pornire",https://cartline.ro/product/topdon-v2200/,,749,https://cartline.ro/wp-content/uploads/2025/11/V2200_-1.png,"1 zi lucratoare"
TOP-10336,TOPDON,"TOPDON V2200 Plus – jump starter auto 2200A","Home | Auto - Moto | Accesorii vehicule | Incarcator baterii auto, robot de pornire",https://cartline.ro/product/topdon-v2200plus/,,869,https://cartline.ro/wp-content/uploads/2025/11/V2200_-1.png,"1 zi lucratoare"
TOP-10335,TOPDON,"TOPDON V2200 Air – jump starter auto cu compresor","Home | Auto - Moto | Accesorii vehicule | Incarcator baterii auto, robot de pornire",https://cartline.ro/product/topdon-v2200air/,,899,https://cartline.ro/wp-content/uploads/2025/11/V2200Air-0.png,"1 zi lucratoare"
TOP-10519,TOPDON,"TOPDON V4500 Plus – jump starter auto 4500A","Home | Auto - Moto | Accesorii vehicule | Incarcator baterii auto, robot de pornire",https://cartline.ro/product/jumpstarter-topdon-v4500-plus/,,1499,https://cartline.ro/wp-content/uploads/2026/01/1_d7148d8e-8b8a-4e8c-93a4-bb3282492163-768x768-1.webp,"1 zi lucratoare"
TOP-11157,TOPDON,"TOPDON V4000 HD – jump starter heavy duty 12/24V 4000A","Home | Auto - Moto | Accesorii vehicule | Incarcator baterii auto, robot de pornire",https://cartline.ro/product/topdon-v4000-hd-jump-starter-heavy-duty-12-24v-4000a-lifepo4/,920041,2193,https://cartline.ro/wp-content/uploads/2026/09/V4000HD_1.jpg,"1 zi lucratoare"
TOP-10334,TOPDON,"TOPDON BT600 – tester baterii auto","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/topdon-bt600/,,869,https://cartline.ro/wp-content/uploads/2025/11/BT600-1.png,"1 zi lucratoare"
TOP-11154,TOPDON,"TOPDON BT600 Plus – tester baterii auto 6/12/24V cu imprimanta si aplicatie","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/topdon-bt600-plus-tester-baterii-6-12-24v-cu-imprimanta-si-app/,920040,2098,https://cartline.ro/wp-content/uploads/2026/09/BT600Plus_1.jpg,"1 zi lucratoare"
UDI-11166,UDIAG,"UDIAG A550 – tester diagnoza auto multimarca, toate sistemele","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/udiag-a550-tester-diagnoza-auto-multimarca-toate-sistemele/,U-A550,2311,https://cartline.ro/wp-content/uploads/2026/09/A550-02-1.webp,"1 zi lucratoare"
UDI-11172,UDIAG,"UDIAG X-20 – tester profesional TPMS si diagnoza OBD2","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/udiag-x-20-tester-profesional-tpms-si-diagnoza-obd2/,U-X20,1728,https://cartline.ro/wp-content/uploads/2026/09/X-20-04-1.webp,"1 zi lucratoare"
UDI-11178,UDIAG,"UDIAG X-60 – tableta diagnoza OE-Level, full system","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/udiag-x-60-tableta-diagnoza-oe-level-full-system/,U-X60,3992,https://cartline.ro/wp-content/uploads/2026/09/X-60-01-1.webp,"1 zi lucratoare"
UDI-11185,UDIAG,"UDIAG X-95 PRO – diagnoza OE-Level profesionala, programare online","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/udiag-x-95-pro-diagnoza-oe-level-profesionala-programare-online/,U-X95-PRO,10447,https://cartline.ro/wp-content/uploads/2026/09/X-95-PRO-01-1.webp,"1 zi lucratoare"
ICA-2345,iCarsoft,"iCarsoft CR Pro+ Tester Diagnoza Auto Multimarca","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/tester-diagnoza-auto-icarsoft-cr-pro-multimarca/,iCarsoft-CR-PRO,1599,,"1 zi lucratoare"
ICA-2539,iCarsoft,"Tester Diagnoza Auto iCarsoft CR MAX Multimarca","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/tester-diagnoza-auto-icarsoft-cr-max-multimarca/,iCarsoft-CR-PRO-1,1799,https://cartline.ro/wp-content/uploads/2022/08/icarsoft-cr-max-705-713.jpg,"1 zi lucratoare"
ICA-3244,iCarsoft,"Tester diagnoza auto iCarsoft LR V3.0 dedicat LandRover/Jaguar","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/tester-diagnoza-auto-icarsoft-lr-v3-0-dedicat-landrover-jaguar/,,1299,https://cartline.ro/wp-content/uploads/2022/10/LRV3-6.png,"1 zi lucratoare"
ICA-3532,iCarsoft,"Tester diagnoza auto iCarsoft JP V3.0 Nissan Infiniti Toyota Lexus Honda Isuzu Hyundai Kia Daewoo Mazda Subaru Mitsubishi Suzuki Acura Scion","Home | Casa si gradina | Instrumente | Instrumente de măsurat",https://cartline.ro/product/tester-diagnoza-auto-icarsoft-jp-v3-0-land-rover-jaguar/,JP-LRV3,1159,https://cartline.ro/wp-content/uploads/2023/07/JP-V3-2.jpg,"1 zi lucratoare"
